survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,family
1,1,1,38.0,1,0,71.2833,C,First,1,False,3.0,Cherbourg,yes,False,1
1,3,1,26.0,0,0,7.925,S,Third,1,False,6.0,Southampton,yes,True,0
1,1,1,35.0,1,0,53.1,S,First,1,False,3.0,Southampton,yes,False,1
1,3,1,27.0,0,2,11.1333,S,Third,1,False,6.0,Southampton,yes,False,2
1,2,1,14.0,1,0,30.0708,C,Second,2,False,5.5,Cherbourg,yes,False,1
1,3,1,4.0,1,1,16.7,S,Third,2,False,7.0,Southampton,yes,False,2
1,1,1,58.0,0,0,26.55,S,First,1,False,3.0,Southampton,yes,True,0
1,2,1,55.0,0,0,16.0,S,Second,1,False,5.5,Southampton,yes,True,0
1,2,0,30.0,0,0,13.0,S,Second,0,True,5.5,Southampton,yes,True,0
1,3,1,30.0,0,0,7.225,C,Third,1,False,6.0,Cherbourg,yes,True,0
1,2,0,34.0,0,0,13.0,S,Second,0,True,4.0,Southampton,yes,True,0
1,3,1,15.0,0,0,8.0292,Q,Third,2,False,6.0,Queenstown,yes,True,0
1,1,0,28.0,0,0,35.5,S,First,0,True,1.0,Southampton,yes,True,0
1,3,1,38.0,1,5,31.3875,S,Third,1,False,6.0,Southampton,yes,False,6
1,3,1,30.0,0,0,7.8792,Q,Third,1,False,6.0,Queenstown,yes,True,0
1,1,1,30.0,1,0,146.5208,C,First,1,False,2.0,Cherbourg,yes,False,1
1,3,1,30.0,0,0,7.75,Q,Third,1,False,6.0,Queenstown,yes,True,0
1,3,0,30.0,0,0,7.2292,C,Third,0,True,6.0,Cherbourg,yes,True,0
1,3,1,14.0,1,0,11.2417,C,Third,2,False,6.0,Cherbourg,yes,False,1
1,2,1,3.0,1,2,41.5792,C,Second,2,False,5.5,Cherbourg,yes,False,3
1,3,1,19.0,0,0,7.8792,Q,Third,1,False,6.0,Queenstown,yes,True,0
1,3,1,30.0,0,0,7.75,Q,Third,1,False,6.0,Queenstown,yes,True,0
1,1,1,49.0,1,0,76.7292,C,First,1,False,4.0,Cherbourg,yes,False,1
1,2,1,29.0,1,0,26.0,S,Second,1,False,5.5,Southampton,yes,False,1
1,1,0,30.0,0,0,35.5,S,First,0,True,3.0,Southampton,yes,True,0
1,2,1,21.0,0,0,10.5,S,Second,1,False,5.5,Southampton,yes,True,0
1,2,1,5.0,1,2,27.75,S,Second,2,False,5.5,Southampton,yes,False,3
1,1,1,38.0,0,0,80.0,S,First,1,False,2.0,Southampton,yes,True,0
1,3,0,30.0,1,1,15.2458,C,Third,0,True,6.0,Cherbourg,yes,False,2
1,2,1,29.0,0,0,10.5,S,Second,1,False,6.0,Southampton,yes,True,0
1,3,1,17.0,4,2,7.925,S,Third,1,False,6.0,Southampton,yes,False,6
1,3,0,32.0,0,0,56.4958,S,Third,0,True,6.0,Southampton,yes,True,0
1,2,0,0.83,0,2,29.0,S,Second,2,False,5.5,Southampton,yes,False,2
1,3,1,30.0,0,0,12.475,S,Third,1,False,6.0,Southampton,yes,True,0
1,3,0,29.0,0,0,9.5,S,Third,0,True,6.0,Southampton,yes,True,0
1,3,1,30.0,0,0,7.7875,Q,Third,1,False,6.0,Queenstown,yes,True,0
1,2,1,17.0,0,0,10.5,S,Second,1,False,5.5,Southampton,yes,True,0
1,3,1,33.0,3,0,15.85,S,Third,1,False,6.0,Southampton,yes,False,3
1,1,1,23.0,3,2,263.0,S,First,1,False,3.0,Southampton,yes,False,5
1,1,0,23.0,0,1,63.3583,C,First,0,True,4.0,Cherbourg,yes,False,1
1,2,1,34.0,0,1,23.0,S,Second,1,False,5.5,Southampton,yes,False,1
1,3,1,21.0,0,0,7.65,S,Third,1,False,6.0,Southampton,yes,True,0
1,3,0,30.0,0,0,7.775,S,Third,0,True,6.0,Southampton,yes,True,0
1,3,1,30.0,1,0,24.15,Q,Third,1,False,6.0,Queenstown,yes,False,1
1,2,1,32.5,0,0,13.0,S,Second,1,False,5.0,Southampton,yes,True,0
1,3,0,12.0,1,0,11.2417,C,Third,2,False,6.0,Cherbourg,yes,False,1
1,3,0,24.0,0,0,7.1417,S,Third,0,True,6.0,Southampton,yes,True,0
1,3,1,30.0,1,1,22.3583,C,Third,1,False,6.0,Cherbourg,yes,False,2
1,2,1,29.0,1,0,26.0,S,Second,1,False,5.5,Southampton,yes,False,1
1,1,1,19.0,0,2,26.2833,S,First,1,False,4.0,Southampton,yes,False,2
1,3,1,22.0,0,0,7.75,S,Third,1,False,6.0,Southampton,yes,True,0
1,3,1,24.0,1,0,15.85,S,Third,1,False,6.0,Southampton,yes,False,1
1,3,0,27.0,0,0,7.7958,S,Third,0,True,6.0,Southampton,yes,True,0
1,1,1,22.0,1,0,66.6,S,First,1,False,3.0,Southampton,yes,False,1
1,3,1,16.0,0,0,7.7333,Q,Third,1,False,6.0,Queenstown,yes,True,0
1,2,1,40.0,0,0,15.75,S,Second,1,False,5.5,Southampton,yes,True,0
1,3,0,9.0,0,2,20.525,S,Third,2,False,6.0,Southampton,yes,False,2
1,1,1,30.0,0,1,55.0,S,First,1,False,5.0,Southampton,yes,False,1
1,3,1,1.0,1,1,11.1333,S,Third,2,False,6.0,Southampton,yes,False,2
1,2,0,1.0,2,1,39.0,S,Second,2,False,6.0,Southampton,yes,False,3
1,3,1,4.0,0,2,22.025,S,Third,2,False,6.0,Southampton,yes,False,2
1,3,1,30.0,1,0,15.5,Q,Third,1,False,6.0,Queenstown,yes,False,1
1,1,0,45.0,0,0,26.55,S,First,0,True,3.0,Southampton,yes,True,0
1,2,1,32.0,0,0,13.0,S,Second,1,False,5.5,Southampton,yes,True,0
1,3,1,19.0,1,0,7.8542,S,Third,1,False,6.0,Southampton,yes,False,1
1,2,0,3.0,1,1,26.0,S,Second,2,False,6.0,Southampton,yes,False,2
1,1,1,44.0,0,0,27.7208,C,First,1,False,2.0,Cherbourg,yes,True,0
1,1,1,58.0,0,0,146.5208,C,First,1,False,2.0,Cherbourg,yes,True,0
1,3,1,30.0,0,0,7.75,Q,Third,1,False,6.0,Queenstown,yes,True,0
1,3,0,18.0,0,0,8.05,S,Third,0,True,6.0,Southampton,yes,True,0
1,3,0,26.0,0,0,18.7875,C,Third,0,True,6.0,Cherbourg,yes,True,0
1,3,1,16.0,0,0,7.75,Q,Third,1,False,6.0,Queenstown,yes,True,0
1,1,0,40.0,0,0,31.0,C,First,0,True,1.0,Cherbourg,yes,True,0
1,2,1,35.0,0,0,21.0,S,Second,1,False,5.5,Southampton,yes,True,0
1,1,1,31.0,1,0,113.275,C,First,1,False,4.0,Cherbourg,yes,False,1
1,3,1,27.0,0,0,7.925,S,Third,1,False,6.0,Southampton,yes,True,0
1,1,1,32.0,0,0,76.2917,C,First,1,False,4.0,Cherbourg,yes,True,0
1,3,0,16.0,0,0,8.05,S,Third,0,True,6.0,Southampton,yes,True,0
1,1,0,38.0,1,0,90.0,S,First,0,True,3.0,Southampton,yes,False,1
1,2,0,19.0,0,0,10.5,S,Second,0,True,5.5,Southampton,yes,True,0
1,1,1,35.0,1,0,83.475,S,First,1,False,3.0,Southampton,yes,False,1
1,3,1,5.0,4,2,31.3875,S,Third,2,False,6.0,Southampton,yes,False,6
1,2,1,8.0,0,2,26.25,S,Second,2,False,5.5,Southampton,yes,False,2
1,3,1,30.0,1,0,15.5,Q,Third,1,False,6.0,Queenstown,yes,False,1
1,2,1,24.0,0,2,14.5,S,Second,1,False,5.5,Southampton,yes,False,2
1,1,0,37.0,1,1,52.5542,S,First,0,True,4.0,Southampton,yes,False,2
1,3,1,29.0,0,2,15.2458,C,Third,1,False,6.0,Cherbourg,yes,False,2
1,1,1,30.0,0,0,79.2,C,First,1,False,3.0,Cherbourg,yes,True,0
1,1,1,30.0,0,0,86.5,S,First,1,False,2.0,Southampton,yes,True,0
1,1,1,35.0,0,0,512.3292,C,First,1,False,3.0,Cherbourg,yes,True,0
1,2,1,50.0,0,1,26.0,S,Second,1,False,5.5,Southampton,yes,False,1
1,3,0,3.0,4,2,31.3875,S,Third,2,False,6.0,Southampton,yes,False,6
1,3,0,25.0,1,0,7.775,S,Third,0,True,6.0,Southampton,yes,False,1
1,1,1,58.0,0,1,153.4625,S,First,1,False,3.0,Southampton,yes,False,1
1,1,1,35.0,0,0,135.6333,S,First,1,False,3.0,Southampton,yes,True,0
1,3,0,25.0,0,0,0.0,S,Third,0,True,6.0,Southampton,yes,True,0
1,2,1,41.0,0,1,19.5,S,Second,1,False,5.5,Southampton,yes,False,1
1,3,1,30.0,0,0,7.75,Q,Third,1,False,6.0,Queenstown,yes,True,0
1,1,1,63.0,1,0,77.9583,S,First,1,False,4.0,Southampton,yes,False,1
1,3,1,35.0,1,1,20.25,S,Third,1,False,6.0,Southampton,yes,False,2
1,3,0,19.0,0,0,8.05,S,Third,0,True,6.0,Southampton,yes,True,0
1,3,0,30.0,0,0,9.5,S,Third,0,True,6.0,Southampton,yes,True,0
1,2,0,42.0,0,0,13.0,S,Second,0,True,5.5,Southampton,yes,True,0
1,3,1,22.0,0,0,7.75,Q,Third,1,False,6.0,Queenstown,yes,True,0
1,1,1,26.0,0,0,78.85,S,First,1,False,3.0,Southampton,yes,True,0
1,1,1,19.0,1,0,91.0792,C,First,1,False,2.0,Cherbourg,yes,False,1
1,1,0,30.0,0,0,30.5,S,First,0,True,3.0,Southampton,yes,True,0
1,1,1,50.0,0,1,247.5208,C,First,1,False,2.0,Cherbourg,yes,False,1
1,3,1,30.0,0,0,7.75,Q,Third,1,False,6.0,Queenstown,yes,True,0
1,3,0,30.0,2,0,23.25,Q,Third,0,True,6.0,Queenstown,yes,False,2
1,2,1,30.0,0,0,12.35,Q,Second,1,False,5.0,Queenstown,yes,True,0
1,1,0,0.92,1,2,151.55,S,First,2,False,3.0,Southampton,yes,False,3
1,1,1,30.0,0,0,110.8833,C,First,1,False,3.0,Cherbourg,yes,True,0
1,1,1,17.0,1,0,108.9,C,First,1,False,3.0,Cherbourg,yes,False,1
1,1,1,30.0,0,0,56.9292,C,First,1,False,5.0,Cherbourg,yes,True,0
1,1,1,24.0,0,0,83.1583,C,First,1,False,3.0,Cherbourg,yes,True,0
1,1,1,18.0,2,2,262.375,C,First,1,False,2.0,Cherbourg,yes,False,4
1,3,1,26.0,0,0,7.8542,S,Third,1,False,6.0,Southampton,yes,True,0
1,2,1,24.0,1,0,26.0,S,Second,1,False,5.5,Southampton,yes,False,1
1,1,1,31.0,0,2,164.8667,S,First,1,False,3.0,Southampton,yes,False,2
1,1,1,40.0,1,1,134.5,C,First,1,False,5.0,Cherbourg,yes,False,2
1,2,1,30.0,0,0,12.35,Q,Second,1,False,5.5,Queenstown,yes,True,0
1,2,1,22.0,1,1,29.0,S,Second,1,False,5.5,Southampton,yes,False,2
1,1,1,36.0,0,0,135.6333,C,First,1,False,3.0,Cherbourg,yes,True,0
1,2,1,36.0,0,0,13.0,S,Second,1,False,4.0,Southampton,yes,True,0
1,3,1,31.0,1,1,20.525,S,Third,1,False,6.0,Southampton,yes,False,2
1,1,1,16.0,0,1,57.9792,C,First,1,False,2.0,Cherbourg,yes,False,1
1,3,1,30.0,2,0,23.25,Q,Third,1,False,6.0,Queenstown,yes,False,2
1,1,1,30.0,1,0,133.65,S,First,1,False,3.0,Southampton,yes,False,1
1,1,1,41.0,0,0,134.5,C,First,1,False,5.0,Cherbourg,yes,True,0
1,3,0,45.0,0,0,8.05,S,Third,0,True,6.0,Southampton,yes,True,0
1,2,0,2.0,1,1,26.0,S,Second,2,False,6.0,Southampton,yes,False,2
1,1,1,24.0,3,2,263.0,S,First,1,False,3.0,Southampton,yes,False,5
1,2,1,24.0,0,0,13.0,S,Second,1,False,6.0,Southampton,yes,True,0
1,2,1,40.0,0,0,13.0,S,Second,1,False,5.5,Southampton,yes,True,0
1,3,1,30.0,1,0,16.1,S,Third,1,False,6.0,Southampton,yes,False,1
1,3,0,3.0,1,1,15.9,S,Third,2,False,6.0,Southampton,yes,False,2
1,1,1,22.0,0,1,55.0,S,First,1,False,5.0,Southampton,yes,False,1
1,3,1,30.0,0,0,7.8792,Q,Third,1,False,6.0,Queenstown,yes,True,0
1,3,1,30.0,0,0,7.8792,Q,Third,1,False,6.0,Queenstown,yes,True,0
1,1,1,60.0,1,0,75.25,C,First,1,False,4.0,Cherbourg,yes,False,1
1,3,1,30.0,0,0,7.2292,C,Third,1,False,6.0,Cherbourg,yes,True,0
1,3,1,30.0,0,0,7.75,Q,Third,1,False,6.0,Queenstown,yes,True,0
1,1,1,24.0,0,0,69.3,C,First,1,False,2.0,Cherbourg,yes,True,0
1,1,0,25.0,1,0,55.4417,C,First,0,True,5.0,Cherbourg,yes,False,1
1,1,1,30.0,1,0,82.1708,C,First,1,False,3.0,Cherbourg,yes,False,1
1,3,1,22.0,0,0,7.25,S,Third,1,False,6.0,Southampton,yes,True,0
1,1,1,42.0,0,0,227.525,C,First,1,False,3.0,Cherbourg,yes,True,0
1,3,1,1.0,0,2,15.7417,C,Third,2,False,6.0,Cherbourg,yes,False,2
1,1,1,35.0,1,0,52.0,S,First,1,False,3.0,Southampton,yes,False,1
1,2,1,36.0,0,0,13.0,S,Second,1,False,5.5,Southampton,yes,True,0
1,2,1,17.0,0,0,12.0,C,Second,1,False,5.5,Cherbourg,yes,True,0
1,1,0,36.0,1,2,120.0,S,First,0,True,2.0,Southampton,yes,False,3
1,3,0,21.0,0,0,7.7958,S,Third,0,True,6.0,Southampton,yes,True,0
1,1,1,23.0,1,0,113.275,C,First,1,False,4.0,Cherbourg,yes,False,1
1,3,1,24.0,0,2,16.7,S,Third,1,False,7.0,Southampton,yes,False,2
1,2,1,28.0,0,0,12.65,S,Second,1,False,5.5,Southampton,yes,True,0
1,3,0,39.0,0,0,7.925,S,Third,0,True,6.0,Southampton,yes,True,0
1,2,0,3.0,1,1,18.75,S,Second,2,False,5.5,Southampton,yes,False,2
1,1,1,33.0,1,0,90.0,Q,First,1,False,3.0,Queenstown,yes,False,1
1,3,0,44.0,0,0,7.925,S,Third,0,True,6.0,Southampton,yes,True,0
1,2,1,34.0,1,1,32.5,S,Second,1,False,5.5,Southampton,yes,False,2
1,2,1,18.0,0,2,13.0,S,Second,1,False,5.5,Southampton,yes,False,2
1,2,1,28.0,1,0,26.0,S,Second,1,False,5.5,Southampton,yes,False,1
1,2,1,19.0,0,0,26.0,S,Second,1,False,5.5,Southampton,yes,True,0
1,3,0,32.0,0,0,8.05,S,Third,0,True,5.0,Southampton,yes,True,0
1,1,0,28.0,0,0,26.55,S,First,0,True,3.0,Southampton,yes,True,0
1,3,1,30.0,1,0,16.1,S,Third,1,False,6.0,Southampton,yes,False,1
1,2,1,42.0,1,0,26.0,S,Second,1,False,5.5,Southampton,yes,False,1
1,1,1,14.0,1,2,120.0,S,First,2,False,2.0,Southampton,yes,False,3
